Temperature(°),W12(um),W34(um),W58(um),W6(um),W7(um),Idc(uA),Length(um),Gain(db),Bandwidth(Hz),GBW(MHz),Power(uW),PM(degree),GM(dB),PSRR(dB),SlewRate (V/us),CMRR,Class
-40,12.3,30,18,30,30,130,0.18,53.0086,27423.7,46.8034,2166.79,58.6901,6.86168,49.1215,6.8963,60.9867,0
-40,12.4,30,18,30,30,130,0.18,53.0153,27446.2,46.9796,2166.99,58.6347,6.8478,49.1285,6.8971,60.993,0
-40,12.4,30,18,30,30,130,0.18,53.0219,27468.6,47.1545,2167.19,58.5796,6.83401,49.1355,6.8979,60.9992,0
-40,12.5,30,18,30,30,130,0.18,53.0285,27490.8,47.3282,2167.39,58.5248,6.82032,49.1425,6.8987,61.0054,0
-40,12.5,30,18,30,30,130,0.18,53.035,27513,47.5007,2167.59,58.4703,6.80673,49.1494,6.8995,61.0116,0
-40,12.6,30,18,30,30,130,0.18,53.0415,27534.9,47.6721,2167.78,58.416,6.79323,49.1563,6.9002,61.0177,0
-40,12.6,30,18,30,30,130,0.18,53.048,27556.9,47.8423,2167.98,58.362,6.77983,49.1631,6.901,61.0237,0
-40,12.7,30,18,30,30,130,0.18,53.0544,27578.9,48.0116,2168.17,58.3083,6.76651,49.1698,6.9018,61.0297,0
-40,12.7,30,18,30,30,130,0.18,53.0607,27600.7,48.1798,2168.37,58.2548,6.75329,49.1765,6.9025,61.0357,0
-40,12.8,30,18,30,30,130,0.18,53.067,27622.4,48.3469,2168.56,58.2017,6.74016,49.1832,6.9033,61.0416,0
-40,12.9,30,18,30,30,130,0.18,53.0733,27644,48.5129,2168.75,58.1488,6.72711,49.1898,6.904,61.0475,0
-40,12.9,30,18,30,30,130,0.18,53.0795,27665.4,48.6778,2168.94,58.0961,6.71416,49.1963,6.9048,61.0534,0
-40,13,30,18,30,30,130,0.18,53.0857,27686.7,48.8415,2169.13,58.0437,6.70129,49.2028,6.9055,61.0592,0
-40,13,30,18,30,30,130,0.18,53.0918,27707.9,49.0043,2169.32,57.9916,6.68851,49.2093,6.9062,61.0649,0
-40,13.1,30,18,30,30,130,0.18,53.0979,27728.9,49.1662,2169.5,57.9398,6.67581,49.2157,6.907,61.0707,0
-40,13.1,30,18,30,30,130,0.18,53.1039,27749.8,49.327,2169.69,57.8881,6.66319,49.222,6.9077,61.0763,0
-40,13.2,30,18,30,30,130,0.18,53.1099,27770.6,49.4869,2169.87,57.8368,6.65066,49.2284,6.9084,61.082,0
-40,13.2,30,18,30,30,130,0.18,53.1159,27791.3,49.6456,2170.06,57.7857,6.63822,49.2346,6.9091,61.0876,0
-40,13.3,30,18,30,30,130,0.18,53.1218,27811.8,49.8033,2170.24,57.7348,6.62585,49.2409,6.9099,61.0932,0
-40,13.3,30,18,30,30,130,0.18,53.1277,27832.3,49.9601,2170.42,57.6842,6.61357,49.247,6.9106,61.0987,0
-40,13.4,30,18,30,30,130,0.18,53.1335,27852.6,50.1158,2170.6,57.6338,6.60136,49.2532,6.9113,61.1042,0
-40,13.5,30,18,30,30,130,0.18,53.1393,27872.7,50.2708,2170.78,57.5836,6.58924,49.2593,6.912,61.1096,0
-40,13.5,30,18,30,30,130,0.18,53.1451,27892.8,50.4248,2170.96,57.5337,6.57719,49.2653,6.9172,61.115,0
-40,13.6,30,18,30,30,130,0.18,53.1508,27912.8,50.5778,2171.14,57.484,6.56523,49.2713,6.9179,61.1204,0
-40,13.6,30,18,30,30,130,0.18,53.1565,27932.6,50.7299,2171.31,57.4346,6.55333,49.2773,6.9185,61.1258,0
-40,13.7,30,18,30,30,130,0.18,53.1622,27952.3,50.881,2171.49,57.3854,6.54152,49.2832,6.9192,61.1311,0
-40,13.7,30,18,30,30,130,0.18,53.1678,27971.9,51.0311,2171.66,57.3364,6.52978,49.2891,6.9199,61.1363,0
-40,13.8,30,18,30,30,130,0.18,53.1733,27991.4,51.1803,2171.84,57.2876,6.51812,49.2949,6.9205,61.1416,0
-40,13.8,30,18,30,30,130,0.18,53.1789,28010.8,51.3286,2172.01,57.2391,6.50652,49.3007,6.9212,61.1468,0
-40,13.9,30,18,30,30,130,0.18,53.1844,28030.1,51.4763,2172.18,57.1908,6.49501,49.3065,6.9219,61.152,0
-40,14,30,18,30,30,130,0.18,53.1898,28049.2,51.623,2172.35,57.1427,6.48356,49.3122,6.9226,61.1571,0
-40,14,30,18,30,30,130,0.18,53.1952,28068.3,51.7688,2172.52,57.0948,6.47219,49.3179,6.9232,61.1622,0
-40,14.1,30,18,30,30,130,0.18,53.2006,28087.2,51.9137,2172.69,57.0472,6.46089,49.3235,6.9239,61.1673,0
-40,14.1,30,18,30,30,130,0.18,53.206,28106,52.0577,2172.86,56.9997,6.44965,49.3291,6.9246,61.1723,0
-40,14.2,30,18,30,30,130,0.18,53.2113,28124.8,52.2008,2173.03,56.9525,6.43849,49.3347,6.9252,61.1773,0
-40,14.2,30,18,30,30,130,0.18,53.2166,28143.4,52.343,2173.2,56.9055,6.4274,49.3402,6.9257,61.1823,0
-40,14.3,30,18,30,30,130,0.18,53.2218,28161.9,52.4844,2173.36,56.8586,6.41638,49.3457,6.9263,61.1872,0
-40,14.3,30,18,30,30,130,0.18,53.2271,28180.3,52.6252,2173.53,56.812,6.40542,49.3512,6.9269,61.1921,0
-40,14.4,30,18,30,30,130,0.18,53.2322,28198.8,52.7652,2173.69,56.7656,6.39453,49.3566,6.9274,61.197,0
-40,14.5,30,18,30,30,130,0.18,53.2374,28217.3,52.9043,2173.86,56.7194,6.38371,49.3619,6.928,61.2019,0
-40,14.5,30,18,30,30,130,0.18,53.2425,28235.6,53.0426,2174.02,56.6734,6.37295,49.3673,6.9285,61.2067,0
